_id,lat,lon,region,name_en,name_ru,official_status
280352393,53.9847680,79.2285770,Новосибирская область,Krasnozyorskoye,Краснозёрское,рабочий посёлок
280352878,54.3347660,80.4878460,Новосибирская область,Kochki,Кочки,село
280404821,50.2695927,85.6155842,,Ust-Koksa,Усть-Кокса,село
280513195,51.2922638,85.6739928,,Shebalino,Шебалино,село
280513628,52.0046840,85.8987430,Республика Алтай,Mayma,Майма,село
280521185,50.9320030,84.7652130,,Ust-Kan,Усть-Кан,село
280548716,51.9994856,84.9860861,Алтайский край,Belokurikha,Белокуриха,город
280550570,52.2599560,87.1175380,Республика Алтай,Turochak,Турочак,село
280822642,51.3680150,42.0751690,Воронежская область,Borisoglebsk,Борисоглебск,город
281293974,51.4069060,86.0035710,Республика Алтай,Chemal,Чемал,село
281427282,53.7839240,82.3162310,Новосибирская область,Suzun,Сузун,рабочий посёлок
281428332,53.4174823,82.5971994,Алтайский край,,Шелаболиха,село
281428653,53.3133356,82.9899119,Алтайский край,Pavlovsk,Павловск,село
281428696,53.2547490,83.6938860,,Yuzhny,Южный,посёлок городского типа
281428908,53.3933410,83.9394070,Алтайский край,Novoaltaysk,Новоалтайск,город
281429248,53.5570680,83.8384250,Алтайский край,Sibirsky,Сибирский,посёлок городского типа
281431381,53.8176306,83.5620110,Алтайский край,Talmenka,Тальменка,посёлок городского типа
281431442,54.2261010,83.3704680,Новосибирская область,Cherepanovo,Черепаново,город
281431602,54.4564590,83.3790740,Новосибирская область,Linyovo,Линёво,рабочий посёлок
281431605,54.6426269,83.3035676,Новосибирская область,Iskitim,Искитим,город
281431826,55.3567611,78.3503480,Новосибирская область,Barabinsk,Барабинск,город
281433268,55.1929899,80.2828252,Новосибирская область,Kargat,Каргат,город
281433500,55.0900000,80.9704590,Новосибирская область,Chulym,Чулым,город
281613050,51.7069911,46.7483653,Саратовская область,Marx,Маркс,город
282045438,55.4302632,36.8684242,Москва,Kiyevsky,Киевский,посёлок
282462417,58.3740782,33.3009383,Новгородская область,Okulovka,Окуловка,город
282596576,61.9570660,129.9113460,Республика Саха (Якутия),Nizhny Bestyakh,Нижний Бестях,посёлок городского типа
282635858,57.6423554,32.4646788,Новгородская область,Demyansk,Демянск,рабочий посёлок
282656834,57.1507610,31.1826780,Новгородская область,Kholm,Холм,город
282671987,58.1190030,30.3096790,Новгородская область,,Сольцы,город
282914618,53.7344700,78.0323720,Новосибирская область,Karasuk,Карасук,город
282914871,52.9892428,78.6462510,Алтайский край,Slavgorod,Славгород,город
283030477,47.1139219,39.4259657,Ростовская область,Azov,Азов,город
283088823,53.6236801,79.5404777,Алтайский край,,Хабары,село
283088976,53.8328616,80.3442706,Алтайский край,Pankrushikha,Панкрушиха,село
283530592,57.8836175,54.7158230,Пермский край,Otchor,Очёр,город
283579400,58.2909057,56.4136872,Пермский край,Polazna,Полазна,посёлок городского типа
283581865,58.4534571,56.4245447,Пермский край,Dobryanka,Добрянка,город
283588621,53.9862567,123.9373454,Амурская область,Skovorodino,Сковородино,город
283703527,53.3494147,102.7949052,,Kutulik,Кутулик,посёлок
285339173,52.7032590,55.8347360,Башкортостан,Yermolayevo,Ермолаево,село
285340786,54.2180600,90.8560260,Республика Хакасия,Bograd,Боград,село
285360076,54.4876400,89.9628910,Республика Хакасия,Shira,Шира,село
285365947,54.9929660,89.8266220,,Kopyovo,Копьёво,посёлок
285580257,58.2693219,29.1115963,,Strugi Krasnye,Струги Красные,рабочий посёлок
285734826,60.4017837,57.0767045,Пермский край,Krasnovishersk,Красновишерск,город
285736628,59.6494370,56.7795940,,Solikamsk,Соликамск,город
285736802,59.4180251,56.6830803,Пермский край,Usolye,Усолье,город
285738845,59.3321491,57.2661550,Пермский край,,Яйва,посёлок городского типа
285745298,59.1593861,57.5861232,Пермский край,Alexandrovsk,Александровск,город
285746241,59.0492520,57.6535000,Пермский край,Kizel,Кизел,город
285749160,58.2820550,57.8210750,Пермский край,Chusovoy,Чусовой,город
285889059,53.8282360,91.3132100,,Chernogorsk,Черногорск,город
285962678,56.1700710,34.5851820,Тверская область,Zubtsov,Зубцов,город
286084866,51.1730870,90.5934434,,Ak-Dovurak,Ак-Довурак,город
286085202,51.2860180,91.5828170,,Chadan,Чадан,город
286085444,51.5387210,92.9194074,,Shagonar,Шагонар,город
286085489,52.1458093,93.9186434,,Turan,Туран,город
286200781,51.4926260,95.5546810,,Saryg-Sep,Сарыг-Сеп,село
286203959,51.1454611,90.5814803,,Kyzyl-Mazhalyk,Кызыл-Мажалык,село
286214595,52.6510546,90.1011590,,Abaza,Абаза,город
286523928,54.0845490,61.5519910,,Troitsk,Троицк,город
286554085,61.4832700,129.1540617,,Pokrovsk,Покровск,город
286560902,47.0545875,142.0487125,Сахалинская область,Kholmsk,Холмск,город
286831504,51.9103810,39.3421440,Воронежская область,,Рамонь,посёлок городского типа
286923453,56.6766700,96.0677640,Красноярский край,,Абан,посёлок
286953863,59.1426580,68.8947750,Тюменская область,,Уват,село
286982957,48.6926990,43.5240630,Волгоградская область,Kalach-na-Donu,Калач-на-Дону,город
287005365,50.4623260,48.1355320,Саратовская область,Novouzensk,Новоузенск,город
287039558,46.4766690,41.5410080,Ростовская область,Salsk,Сальск,город
287040070,47.1489180,42.4649700,Ростовская область,,Зимовники,посёлок
287050506,56.7846620,53.3776005,Удмуртия,Zav'yalovo,Завьялово,село
287260036,58.3890090,33.9068275,Новгородская область,Borovichi,Боровичи,город
287337481,65.5336238,72.5113955,Ямало-Ненецкий автономный округ,Nadym,Надым,город
287387383,43.7715594,41.9119790,,Karachayevsk,Карачаевск,город
287411141,43.7590017,44.0103981,,Prokhladny,Прохладный,город
287516647,43.0398410,44.2204510,,Alagir,Алагир,город
287660963,42.8881414,47.6424676,,Kaspiysk,Каспийск,город
287661153,42.5710804,47.8629990,Дагестан,Izberbash,Избербаш,город
287662481,41.6758118,48.1516324,Дагестан,Kasumkent,Касумкент,село
287670803,42.8260906,47.1219624,Дагестан,Buynaksk,Буйнакск,город
287673747,42.1152434,48.1864201,Дагестан,Dagestanskiye Ogni,Дагестанские Огни,город
287686736,43.1999049,46.8713343,Дагестан,Kizilyurt,Кизилюрт,город
287687179,44.6622310,45.6451380,Дагестан,Yuzhno-Sukhokumsk,Южно-Сухокумск,город
287702846,43.2950455,45.8688918,,Argun,Аргун,город
287703730,43.3486103,46.0959450,,Gudermes,Гудермес,город
287704409,43.1539420,45.9065780,,Shali,Шали,город
287756202,52.0121253,48.8109795,,Pugachyov,Пугачёв,город
287798315,43.3094909,44.9103340,Ингушетия,Karabulak,Карабулак,город
288089948,57.5467442,53.0991803,Удмуртия,Igra,Игра,посёлок
288092970,58.2655790,54.9272080,Пермский край,Karagay,Карагай,село
